resume_text,job_description,label
"Experienced professional with 6 years of experience. Skilled in css, responsive design, ui/ux, typescript. Worked on multiple projects involving html, redux. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in python, data visualization, deep learning, pandas. The candidate should have experience with machine learning, pandas and a background in data scientist.",0
"Experienced professional with 4 years of experience. Skilled in terraform, aws, jenkins, networking. Worked on multiple projects involving email marketing, numpy. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in kubernetes, networking, jenkins, terraform. The candidate should have experience with docker, ci/cd and a background in devops engineer.",1
"Experienced professional with 2 years of experience. Skilled in kubernetes, networking, aws, ci/cd. Worked on multiple projects involving aws, docker. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in monitoring, jenkins, ci/cd, terraform. The candidate should have experience with terraform, aws and a background in devops engineer.",1
"Experienced professional with 10 years of experience. Skilled in responsive design, ui/ux, webpack, redux. Worked on multiple projects involving react, redux. Strong background in frontend developer.","We are looking for a Digital Marketer with strong skills in google ads, social media, content strategy, analytics. The candidate should have experience with seo, analytics and a background in digital marketer.",0
"Experienced professional with 3 years of experience. Skilled in branding, google ads, analytics, copywriting. Worked on multiple projects involving branding, content strategy. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in analytics, branding, copywriting, google ads. The candidate should have experience with email marketing, content strategy and a background in digital marketer.",1
"Experienced professional with 6 years of experience. Skilled in terraform, docker, linux, kubernetes. Worked on multiple projects involving docker, jenkins. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in data visualization, python, sql, numpy. The candidate should have experience with sql, python and a background in data scientist.",0
"Experienced professional with 2 years of experience. Skilled in html, webpack, responsive design, javascript. Worked on multiple projects involving react, typescript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in css, javascript, html, ui/ux. The candidate should have experience with react, typescript and a background in frontend developer.",1
"Experienced professional with 9 years of experience. Skilled in deep learning, sql, numpy, scikit-learn. Worked on multiple projects involving numpy, data visualization. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in machine learning, data visualization, python, statistics. The candidate should have experience with pandas, data visualization and a background in data scientist.",1
"Experienced professional with 5 years of experience. Skilled in google ads, content strategy, email marketing, social media. Worked on multiple projects involving analytics, copywriting. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in content strategy, email marketing, branding, seo. The candidate should have experience with email marketing, content strategy and a background in digital marketer.",1
"Experienced professional with 4 years of experience. Skilled in responsive design, html, typescript, redux. Worked on multiple projects involving responsive design, javascript. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in terraform, networking, monitoring, aws. The candidate should have experience with jenkins, aws and a background in devops engineer.",0
"Experienced professional with 8 years of experience. Skilled in statistics, scikit-learn, numpy, machine learning. Worked on multiple projects involving pandas, scikit-learn. Strong background in data scientist.","We are looking for a DevOps Engineer with strong skills in terraform, kubernetes, ci/cd, docker. The candidate should have experience with linux, docker and a background in devops engineer.",0
"Experienced professional with 2 years of experience. Skilled in copywriting, social media, analytics, seo. Worked on multiple projects involving css, redux. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in javascript, html, css, redux. The candidate should have experience with javascript, react and a background in frontend developer.",0
"Experienced professional with 2 years of experience. Skilled in deep learning, sql, python, machine learning. Worked on multiple projects involving machine learning, sql. Strong background in data scientist.","We are looking for a DevOps Engineer with strong skills in monitoring, terraform, networking, aws. The candidate should have experience with jenkins, linux and a background in devops engineer.",0
"Experienced professional with 10 years of experience. Skilled in google ads, email marketing, branding, social media. Worked on multiple projects involving analytics, branding. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in google ads, branding, content strategy, copywriting. The candidate should have experience with branding, google ads and a background in digital marketer.",1
"Experienced professional with 2 years of experience. Skilled in jenkins, terraform, networking, monitoring. Worked on multiple projects involving linux, ci/cd. Strong background in devops engineer.","We are looking for a Digital Marketer with strong skills in content strategy, analytics, google ads, seo. The candidate should have experience with content strategy, social media and a background in digital marketer.",0
"Experienced professional with 3 years of experience. Skilled in python, sql, data visualization, pandas. Worked on multiple projects involving deep learning, numpy. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in deep learning, statistics, data visualization, python. The candidate should have experience with scikit-learn, statistics and a background in data scientist.",1
"Experienced professional with 2 years of experience. Skilled in aws, monitoring, linux, ci/cd. Worked on multiple projects involving networking, terraform. Strong background in devops engineer.","We are looking for a Data Scientist with strong skills in machine learning, statistics, numpy, scikit-learn. The candidate should have experience with data visualization, scikit-learn and a background in data scientist.",0
"Experienced professional with 2 years of experience. Skilled in webpack, ui/ux, typescript, css. Worked on multiple projects involving python, pandas. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in numpy, sql, statistics, python. The candidate should have experience with python, machine learning and a background in data scientist.",0
"Experienced professional with 5 years of experience. Skilled in analytics, email marketing, social media, copywriting. Worked on multiple projects involving email marketing, google ads. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in social media, google ads, branding, analytics. The candidate should have experience with analytics, email marketing and a background in digital marketer.",1
"Experienced professional with 8 years of experience. Skilled in webpack, react, ui/ux, css. Worked on multiple projects involving css, html. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, html, css, ui/ux. The candidate should have experience with webpack, redux and a background in frontend developer.",1
"Experienced professional with 3 years of experience. Skilled in terraform, monitoring, docker, linux. Worked on multiple projects involving terraform, jenkins. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in monitoring, networking, kubernetes, docker. The candidate should have experience with docker, aws and a background in devops engineer.",1
"Experienced professional with 3 years of experience. Skilled in branding, analytics, social media, google ads. Worked on multiple projects involving content strategy, email marketing. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in seo, google ads, content strategy, analytics. The candidate should have experience with content strategy, copywriting and a background in digital marketer.",1
"Experienced professional with 4 years of experience. Skilled in linux, monitoring, ci/cd, kubernetes. Worked on multiple projects involving docker, aws. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in typescript, ui/ux, responsive design, redux. The candidate should have experience with webpack, typescript and a background in frontend developer.",0
"Experienced professional with 5 years of experience. Skilled in copywriting, analytics, branding, email marketing. Worked on multiple projects involving copywriting, content strategy. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in linux, ci/cd, terraform, docker. The candidate should have experience with monitoring, linux and a background in devops engineer.",0
"Experienced professional with 2 years of experience. Skilled in python, numpy, scikit-learn, deep learning. Worked on multiple projects involving scikit-learn, sql. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in numpy, pandas, deep learning, scikit-learn. The candidate should have experience with sql, numpy and a background in data scientist.",1
"Experienced professional with 10 years of experience. Skilled in social media, copywriting, analytics, content strategy. Worked on multiple projects involving copywriting, branding. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in linux, kubernetes, jenkins, docker. The candidate should have experience with jenkins, monitoring and a background in devops engineer.",0
"Experienced professional with 7 years of experience. Skilled in ui/ux, javascript, redux, html. Worked on multiple projects involving html, javascript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in redux, html, javascript, ui/ux. The candidate should have experience with css, redux and a background in frontend developer.",1
"Experienced professional with 5 years of experience. Skilled in webpack, ui/ux, typescript, javascript. Worked on multiple projects involving responsive design, html. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in data visualization, machine learning, pandas, statistics. The candidate should have experience with data visualization, statistics and a background in data scientist.",0
"Experienced professional with 6 years of experience. Skilled in ci/cd, monitoring, kubernetes, networking. Worked on multiple projects involving monitoring, ci/cd. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in kubernetes, monitoring, terraform, ci/cd. The candidate should have experience with docker, jenkins and a background in devops engineer.",1
"Experienced professional with 1 years of experience. Skilled in responsive design, javascript, ui/ux, css. Worked on multiple projects involving typescript, html. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in networking, aws, jenkins, kubernetes. The candidate should have experience with networking, jenkins and a background in devops engineer.",0
"Experienced professional with 4 years of experience. Skilled in social media, google ads, branding, email marketing. Worked on multiple projects involving google ads, email marketing. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in javascript, html, css, react. The candidate should have experience with css, react and a background in frontend developer.",0
"Experienced professional with 8 years of experience. Skilled in numpy, pandas, sql, statistics. Worked on multiple projects involving machine learning, statistics. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in react, css, typescript, responsive design. The candidate should have experience with css, ui/ux and a background in frontend developer.",0
"Experienced professional with 6 years of experience. Skilled in email marketing, copywriting, google ads, social media. Worked on multiple projects involving copywriting, content strategy. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in webpack, react, responsive design, ui/ux. The candidate should have experience with ui/ux, webpack and a background in frontend developer.",0
"Experienced professional with 1 years of experience. Skilled in data visualization, machine learning, sql, statistics. Worked on multiple projects involving scikit-learn, machine learning. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in webpack, css, redux, javascript. The candidate should have experience with redux, responsive design and a background in frontend developer.",0
"Experienced professional with 3 years of experience. Skilled in jenkins, networking, ci/cd, terraform. Worked on multiple projects involving aws, monitoring. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in docker, ci/cd, monitoring, linux. The candidate should have experience with jenkins, linux and a background in devops engineer.",1
"Experienced professional with 10 years of experience. Skilled in redux, css, react, html. Worked on multiple projects involving html, javascript. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, ui/ux, css, javascript. The candidate should have experience with webpack, ui/ux and a background in frontend developer.",1
"Experienced professional with 8 years of experience. Skilled in seo, branding, google ads, email marketing. Worked on multiple projects involving branding, analytics. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in email marketing, seo, content strategy, analytics. The candidate should have experience with email marketing, content strategy and a background in digital marketer.",1
"Experienced professional with 9 years of experience. Skilled in ui/ux, webpack, responsive design, typescript. Worked on multiple projects involving javascript, webpack. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in typescript, javascript, react, redux. The candidate should have experience with react, ui/ux and a background in frontend developer.",1
"Experienced professional with 5 years of experience. Skilled in webpack, javascript, css, html. Worked on multiple projects involving javascript, responsive design. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in responsive design, ui/ux, javascript, react. The candidate should have experience with typescript, webpack and a background in frontend developer.",1
"Experienced professional with 8 years of experience. Skilled in linux, docker, jenkins, monitoring. Worked on multiple projects involving kubernetes, jenkins. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in ci/cd, terraform, linux, networking. The candidate should have experience with monitoring, terraform and a background in devops engineer.",1
"Experienced professional with 9 years of experience. Skilled in email marketing, copywriting, analytics, branding. Worked on multiple projects involving branding, google ads. Strong background in digital marketer.","We are looking for a Data Scientist with strong skills in pandas, scikit-learn, sql, numpy. The candidate should have experience with python, statistics and a background in data scientist.",0
"Experienced professional with 2 years of experience. Skilled in data visualization, deep learning, pandas, python. Worked on multiple projects involving sql, data visualization. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in numpy, pandas, sql, python. The candidate should have experience with pandas, python and a background in data scientist.",1
"Experienced professional with 3 years of experience. Skilled in monitoring, linux, aws, docker. Worked on multiple projects involving javascript, redux. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in terraform, aws, jenkins, monitoring. The candidate should have experience with aws, terraform and a background in devops engineer.",1
"Experienced professional with 2 years of experience. Skilled in social media, email marketing, seo, content strategy. Worked on multiple projects involving email marketing, branding. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in copywriting, social media, content strategy, email marketing. The candidate should have experience with branding, social media and a background in digital marketer.",1
"Experienced professional with 1 years of experience. Skilled in analytics, email marketing, seo, google ads. Worked on multiple projects involving analytics, branding. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in analytics, copywriting, seo, social media. The candidate should have experience with branding, social media and a background in digital marketer.",1
"Experienced professional with 1 years of experience. Skilled in content strategy, branding, seo, google ads. Worked on multiple projects involving analytics, seo. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in redux, react, javascript, typescript. The candidate should have experience with react, javascript and a background in frontend developer.",0
"Experienced professional with 9 years of experience. Skilled in numpy, sql, machine learning, statistics. Worked on multiple projects involving networking, terraform. Strong background in data scientist.","We are looking for a DevOps Engineer with strong skills in aws, kubernetes, terraform, monitoring. The candidate should have experience with kubernetes, aws and a background in devops engineer.",0
"Experienced professional with 9 years of experience. Skilled in google ads, copywriting, seo, branding. Worked on multiple projects involving seo, analytics. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in google ads, seo, analytics, branding. The candidate should have experience with seo, content strategy and a background in digital marketer.",1
"Experienced professional with 9 years of experience. Skilled in css, ui/ux, webpack, redux. Worked on multiple projects involving react, css. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in redux, react, javascript, responsive design. The candidate should have experience with ui/ux, javascript and a background in frontend developer.",1
"Experienced professional with 2 years of experience. Skilled in aws, linux, ci/cd, jenkins. Worked on multiple projects involving ci/cd, jenkins. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in networking, monitoring, aws, linux. The candidate should have experience with aws, monitoring and a background in devops engineer.",1
"Experienced professional with 3 years of experience. Skilled in content strategy, social media, copywriting, seo. Worked on multiple projects involving copywriting, google ads. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in analytics, copywriting, branding, content strategy. The candidate should have experience with social media, content strategy and a background in digital marketer.",1
"Experienced professional with 10 years of experience. Skilled in typescript, webpack, redux, ui/ux. Worked on multiple projects involving react, css. Strong background in frontend developer.","We are looking for a Data Scientist with strong skills in statistics, machine learning, numpy, pandas. The candidate should have experience with machine learning, numpy and a background in data scientist.",0
"Experienced professional with 6 years of experience. Skilled in copywriting, email marketing, google ads, content strategy. Worked on multiple projects involving copywriting, seo. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in analytics, google ads, copywriting, branding. The candidate should have experience with analytics, content strategy and a background in digital marketer.",1
"Experienced professional with 4 years of experience. Skilled in branding, copywriting, email marketing, analytics. Worked on multiple projects involving social media, copywriting. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in kubernetes, jenkins, monitoring, networking. The candidate should have experience with aws, ci/cd and a background in devops engineer.",0
"Experienced professional with 3 years of experience. Skilled in statistics, data visualization, sql, scikit-learn. Worked on multiple projects involving webpack, ui/ux. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in webpack, html, ui/ux, typescript. The candidate should have experience with html, typescript and a background in frontend developer.",0
"Experienced professional with 5 years of experience. Skilled in jenkins, aws, linux, ci/cd. Worked on multiple projects involving linux, docker. Strong background in devops engineer.","We are looking for a DevOps Engineer with strong skills in monitoring, linux, terraform, jenkins. The candidate should have experience with networking, docker and a background in devops engineer.",1
"Experienced professional with 4 years of experience. Skilled in pandas, data visualization, scikit-learn, sql. Worked on multiple projects involving statistics, data visualization. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in typescript, webpack, react, redux. The candidate should have experience with css, ui/ux and a background in frontend developer.",0
"Experienced professional with 4 years of experience. Skilled in machine learning, deep learning, sql, numpy. Worked on multiple projects involving html, webpack. Strong background in data scientist.","We are looking for a Data Scientist with strong skills in machine learning, python, statistics, pandas. The candidate should have experience with numpy, deep learning and a background in data scientist.",1
"Experienced professional with 7 years of experience. Skilled in react, ui/ux, webpack, javascript. Worked on multiple projects involving seo, social media. Strong background in frontend developer.","We are looking for a Digital Marketer with strong skills in branding, content strategy, email marketing, analytics. The candidate should have experience with social media, email marketing and a background in digital marketer.",0
"Experienced professional with 5 years of experience. Skilled in networking, monitoring, kubernetes, aws. Worked on multiple projects involving monitoring, terraform. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in redux, typescript, ui/ux, css. The candidate should have experience with css, webpack and a background in frontend developer.",0
"Experienced professional with 9 years of experience. Skilled in deep learning, scikit-learn, data visualization, statistics. Worked on multiple projects involving pandas, data visualization. Strong background in data scientist.","We are looking for a Frontend Developer with strong skills in responsive design, javascript, typescript, css. The candidate should have experience with typescript, react and a background in frontend developer.",0
"Experienced professional with 2 years of experience. Skilled in numpy, statistics, data visualization, pandas. Worked on multiple projects involving sql, python. Strong background in data scientist.","We are looking for a Digital Marketer with strong skills in analytics, email marketing, branding, content strategy. The candidate should have experience with copywriting, google ads and a background in digital marketer.",0
"Experienced professional with 4 years of experience. Skilled in redux, html, css, responsive design. Worked on multiple projects involving react, javascript. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in aws, docker, linux, monitoring. The candidate should have experience with terraform, jenkins and a background in devops engineer.",0
"Experienced professional with 1 years of experience. Skilled in email marketing, analytics, copywriting, seo. Worked on multiple projects involving content strategy, seo. Strong background in digital marketer.","We are looking for a Digital Marketer with strong skills in content strategy, analytics, email marketing, google ads. The candidate should have experience with social media, analytics and a background in digital marketer.",1
"Experienced professional with 9 years of experience. Skilled in seo, branding, google ads, analytics. Worked on multiple projects involving analytics, branding. Strong background in digital marketer.","We are looking for a Frontend Developer with strong skills in javascript, webpack, css, typescript. The candidate should have experience with ui/ux, typescript and a background in frontend developer.",0
"Experienced professional with 5 years of experience. Skilled in kubernetes, terraform, linux, monitoring. Worked on multiple projects involving linux, networking. Strong background in devops engineer.","We are looking for a Frontend Developer with strong skills in redux, webpack, css, typescript. The candidate should have experience with css, javascript and a background in frontend developer.",0
"Experienced professional with 5 years of experience. Skilled in ui/ux, responsive design, redux, html. Worked on multiple projects involving html, ui/ux. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, javascript, typescript, redux. The candidate should have experience with css, redux and a background in frontend developer.",1
"Experienced professional with 3 years of experience. Skilled in webpack, html, javascript, redux. Worked on multiple projects involving deep learning, branding. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, typescript, ui/ux, css. The candidate should have experience with javascript, react and a background in frontend developer.",1
"Experienced professional with 7 years of experience. Skilled in html, react, responsive design, redux. Worked on multiple projects involving html, react. Strong background in frontend developer.","We are looking for a Frontend Developer with strong skills in webpack, ui/ux, css, html. The candidate should have experience with webpack, responsive design and a background in frontend developer.",1
"Experienced professional with 7 years of experience. Skilled in google ads, content strategy, email marketing, copywriting. Worked on multiple projects involving sql, numpy. Strong background in digital marketer.","We are looking for a Data Scientist with strong skills in pandas, sql, machine learning, deep learning. The candidate should have experience with machine learning, statistics and a background in data scientist.",0
"Experienced professional with 5 years of experience. Skilled in typescript, webpack, javascript, responsive design. Worked on multiple projects involving ui/ux, javascript. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in linux, kubernetes, jenkins, monitoring. The candidate should have experience with docker, monitoring and a background in devops engineer.",0
"Experienced professional with 2 years of experience. Skilled in css, javascript, ui/ux, html. Worked on multiple projects involving css, ui/ux. Strong background in frontend developer.","We are looking for a DevOps Engineer with strong skills in terraform, linux, aws, jenkins. The candidate should have experience with docker, aws and a background in devops engineer.",0
"Experienced professional with 9 years of experience. Skilled in google ads, email marketing, social media, seo. Worked on multiple projects involving seo, social media. Strong background in digital marketer.","We are looking for a DevOps Engineer with strong skills in terraform, kubernetes, jenkins, monitoring. The candidate should have experience with docker, terraform and a background in devops engineer.",0
"Experienced professional with 1 years of experience. Skilled in kubernetes, docker, jenkins, linux. Worked on multiple projects involving email marketing, social media. Strong background in devops engineer.","We are looking for a Digital Marketer with strong skills in branding, copywriting, analytics, seo. The candidate should have experience with seo, social media and a background in digital marketer.",0
